선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,연봉(2018),연봉(2017)
이재학,NC,5,7,0,0,0,28,23,119.0,8.85,3.1,1.66,0.35,65.4,5.67,1.04,5.53,5.35,1.31,19000,20000
김강률,두산,7,2,7,12,1,70,0,89.0,7.38,3.24,0.61,0.316,73.5,3.44,2.68,4.15,4.09,1.27,15000,6200
김재윤,KT,3,5,15,0,4,41,0,37.1,7.47,2.65,0.24,0.348,54.3,5.79,0.73,3.15,3.05,1.24,11000,9000
김원중,롯데,7,8,0,0,0,24,24,107.1,7.3,4.7,1.09,0.347,70.3,5.7,2.22,5.53,5.56,1.23,6300,3000
박진형,롯데,4,4,2,10,3,45,9,88.0,9.72,4.81,0.82,0.349,68.9,5.11,1.7,4.43,4.14,1.12,10500,6000
윤규진,한화,8,7,0,2,0,36,18,119.0,7.03,3.33,1.44,0.328,72.1,5.22,2.23,5.46,5.42,1.09,21000,18000
김재영,한화,5,7,0,0,1,20,15,85.1,5.38,2,0.95,0.337,67.8,4.54,1.6,5,5.23,1.06,5300,3000
신정락,LG,3,5,10,12,3,63,0,59.0,8.85,3.66,0.61,0.341,59.3,5.34,0.51,4.23,4.12,0.97,10500,7500
임창용,KIA,8,6,7,9,5,51,0,50.0,10.44,3.96,0.54,0.356,75.9,3.78,1.4,3.69,3.35,0.96,50000,50000
심창민,삼성,4,7,6,16,2,66,0,75.1,12.31,5.26,1.43,0.265,78.5,4.18,1.82,4.82,4.26,0.93,23000,21000
정찬헌,LG,8,7,7,3,3,61,0,61.2,8.32,3.65,0.73,0.383,62.9,5.84,0.97,3.96,3.8,0.93,9500,4500
임창민,NC,4,3,29,0,6,60,0,66.0,8.45,3.14,1.36,0.289,81.4,3.68,2.68,4.83,4.6,0.89,25000,22500
안영명,한화,1,8,0,0,1,25,16,87.2,5.54,2.87,1.13,0.366,66.9,5.75,0.52,5.19,5.34,0.81,35000,20000
심동섭,KIA,2,2,2,11,1,52,2,50.2,8.88,3.73,1.07,0.382,66.6,5.68,0.5,4.31,4.03,0.8,13000,11000
진해수,LG,3,3,1,24,2,75,0,52.2,8.2,2.56,1.03,0.317,75.9,3.93,1.45,4.25,4.06,0.79,19000,11000
심수창,한화,3,1,2,2,2,48,0,57.0,8.53,3.47,1.26,0.371,75.2,4.74,0.75,4.87,4.67,0.73,20000,25000
이동현,LG,3,6,7,5,3,45,0,50.2,6.93,1.78,0.71,0.329,58.9,4.8,1.22,3.64,3.59,0.68,60000,60000
문승원,SK,6,12,0,0,0,29,29,155.1,4.98,3.13,1.45,0.306,70.1,5.33,3.08,5.96,6.18,0.67,9000,4400
김명신,두산,3,1,0,5,3,39,2,45.1,7.54,2.38,0.4,0.374,71.2,4.37,0.69,3.89,3.9,0.64,5200,2700
서진용,SK,2,3,3,3,6,42,0,46.0,10.76,4.5,0.78,0.342,74.5,3.91,0.37,3.97,3.52,0.54,6000,4000
이현승,두산,3,2,5,9,7,57,0,52.0,6.58,2.77,0.69,0.349,77.2,3.98,1.69,4.25,4.3,0.53,40000,40000
장원삼,삼성,4,5,0,6,2,49,5,67.1,7.35,2.27,1.07,0.396,65.5,5.61,0.57,4.63,4.57,0.51,20000,75000
윤수호,NC,2,1,0,1,0,40,0,47.0,8.04,5.74,0.57,0.288,62.1,5.36,0.62,4.95,4.92,0.51,4700,2700
윤길현,롯데,1,4,0,13,2,40,0,39.1,9.84,3.66,0.69,0.384,60.5,6.41,-0.04,3.99,3.73,0.5,50000,50000
김승회,두산,7,4,0,11,0,69,0,69.0,5.35,2.22,0.78,0.349,70.6,4.96,1.59,4.59,4.78,0.47,10000,10000
문광은,SK,2,4,2,5,0,46,0,44.2,8.26,4.03,1.01,0.362,57.4,7.05,0.06,4.83,4.72,0.44,6000,4500
홍건희,KIA,1,1,0,0,0,31,2,59.0,6.25,3.2,0.76,0.394,62.6,6.41,0.19,4.62,4.68,0.41,8000,9000
박정진,한화,3,2,1,7,0,55,0,48.0,9.56,4.5,1.12,0.274,65.4,3.94,0.87,4.92,4.66,0.38,25000,33000
김대현,LG,5,7,0,0,0,26,16,94.0,4.69,3.06,1.24,0.281,64.5,5.36,1.49,5.61,5.86,0.38,7000,3000
엄상백,KT,1,3,0,8,4,52,0,52.0,6.75,3.81,0.52,0.285,65.9,4.15,0.69,4.43,4.49,0.36,7600,5300
배장호,롯데,8,1,0,6,2,72,0,66.1,6.38,2.71,1.22,0.302,71.4,4.34,1.15,5.12,5.21,0.29,13000,5400
권오준,삼성,1,2,0,1,1,45,0,56.0,8.84,2.25,1.77,0.324,72.1,5.14,1.16,5.29,5.05,0.28,15000,10500
한승혁,KIA,1,1,1,3,2,36,0,39.0,9.69,5.31,0.92,0.372,59.0,7.15,-0.29,4.61,4.31,0.27,6500,7500
김경태,한화,1,0,0,6,0,19,0,12.2,12.08,6.39,0,0.414,87.0,1.42,0.54,3.66,3.25,0.27,4000,3200
김사율,KT,3,3,0,2,1,19,5,34.2,7.27,2.08,1.82,0.373,59.8,7.27,-0.16,5.52,5.42,0.25,15000,20000
정성곤,KT,3,12,0,0,0,26,20,107.2,6.02,3.43,1.67,0.356,58.2,8.11,-0.84,6.12,6.22,0.23,4700,3300
최충연,삼성,3,8,0,3,0,42,6,84.0,7.93,5.14,1.29,0.366,63.9,7.61,-0.56,5.83,5.8,0.23,4500,3000
고우석,LG,0,0,0,1,0,25,0,26.0,7.96,3.81,0.69,0.35,74.6,4.5,0.47,4.47,4.39,0.23,4000,2700
배우열,KT,0,2,0,3,0,26,0,34.1,8.65,2.36,1.84,0.421,62.1,8.65,-0.22,5.6,5.42,0.22,4700,4600
채병용,SK,6,4,0,6,3,43,0,50.0,7.74,2.7,1.44,0.342,58.1,6.84,-0.17,5.05,4.94,0.22,30000,25000
신재웅,SK,0,1,2,4,2,32,0,31.0,8.42,4.35,0.87,0.253,79.9,3.19,0.87,4.57,4.39,0.21,11000,12000
최지광,삼성,0,2,0,0,0,11,6,25.0,8.28,7.92,0.72,0.351,64.3,6.48,-0.16,5.69,5.65,0.21,3100,2700
임정우,LG,0,0,0,1,0,17,0,16.2,9.18,3.24,0.54,0.302,76.5,2.7,0.41,3.73,3.49,0.2,14000,22000
장시환,롯데,4,4,0,10,6,53,0,51.1,9.99,5.44,1.05,0.326,73.7,4.38,0.63,4.9,4.61,0.19,8500,6500
박세진,KT,0,2,0,0,0,4,3,11.1,6.35,4.76,0,0.4,50.0,9.53,-0.13,4.44,4.67,0.18,3100,3000
전유수,SK,0,0,0,1,0,18,0,20.2,8.71,5.66,0.44,0.415,65.7,6.53,-0.15,4.61,4.54,0.17,8500,11000
손영민,KIA,0,1,0,4,0,15,0,13.1,6.08,2.02,2.7,0.458,57.4,10.8,-0.12,7.18,7.24,0.17,5500,8000
박지훈,KIA,1,1,0,4,0,18,0,14.0,6.43,5.79,0.64,0.333,56.9,7.07,-0.04,5.38,5.52,0.13,4200,5000
윤지웅,LG,1,1,1,3,0,34,3,35.0,5.66,2.57,1.03,0.312,69.6,3.86,0.79,4.91,5.07,0.13,5800,9500
박정배,SK,5,3,7,16,4,61,0,68.0,6.49,4.37,1.19,0.258,76.2,3.57,2.59,5.34,5.39,0.13,14000,8000
황수범,삼성,1,2,0,0,0,10,7,31.1,7.47,5.46,2.01,0.376,56.9,8.04,-0.67,6.99,6.97,0.12,3800,2700
김주한,SK,6,5,5,11,5,63,3,69.2,5.81,4.13,1.29,0.324,64.8,5.94,0.26,5.69,5.83,0.1,9000,5700
김대유,SK,0,0,0,0,0,6,0,4.2,5.79,3.86,1.93,0.389,58.1,9.64,0.08,5.88,5.91,0.09,3000,2700
이명우,롯데,2,0,0,4,0,34,0,26.2,5.06,2.36,1.01,0.326,61.9,5.74,0.35,5.08,5.3,0.09,10500,11000
장지훈,삼성,0,0,0,0,0,4,0,2.1,19.29,3.86,0,0.5,100.0,0,0.09,0.73,-0.69,0.08,2800,2700
손주영,LG,0,0,0,0,0,5,0,6.0,7.5,1.5,0,0.316,62.5,4.5,0.06,3.07,3.08,0.08,3000,2700
임기준,KIA,0,1,1,2,0,15,4,22.0,4.91,6.14,0.41,0.32,80.3,3.27,0.74,5.28,5.55,0.07,6000,3700
최성훈,LG,0,0,1,3,0,32,0,22.0,6.55,4.5,0.82,0.311,75.3,4.09,0.34,5.37,5.55,0.07,6000,4500
김진영,한화,0,0,0,0,0,3,0,2.2,13.5,6.75,0,0.556,57.1,10.12,-0.02,2.98,2.29,0.07,3000,2700
이동걸,한화,0,0,1,2,0,24,0,36.2,5.4,1.23,1.23,0.279,70.3,4.17,0.69,4.96,5.11,0.06,5400,5000
여건욱,LG,0,0,0,1,0,3,0,3.1,8.1,8.1,0,0.364,100.0,0,0.25,3.73,3.63,0.06,4000,4000
차재용,롯데,0,0,0,0,0,3,0,2.1,7.71,0,0,0.167,100.0,0,0.08,2.02,1.83,0.05,2800,2800
임준혁,SK,0,0,1,2,0,43,0,45.1,5.96,5.76,0.79,0.325,74.0,4.57,0.62,5.34,5.54,0.04,9500,10000
이형범,NC,1,2,0,0,0,14,4,29.1,4.3,3.99,0.61,0.261,77.7,3.07,0.77,5.51,5.94,0.04,3500,2700
임현준,삼성,0,0,0,0,0,10,0,10.2,3.38,3.38,0,0.297,58.8,5.06,-0.04,4.67,5.22,0.03,3500,3200
장민익,두산,0,0,0,0,0,3,0,2.0,9,9,0,0,100.0,0,0.08,4.73,4.61,0.02,2700,2700
박경태,KIA,0,0,0,0,0,3,0,4.0,6.75,6.75,0,0.389,40.0,9,-0.17,4.48,4.56,0.02,4000,4900
김도영,KT,0,0,0,0,0,1,0,1.0,0,0,0,0.25,100.0,0,0.04,3.73,4.43,0.0,2900,2700
조근종,KT,0,0,0,0,0,1,0,2.0,22.5,4.5,4.5,0.833,35.7,22.5,-0.16,6.73,4.86,0.0,2900,2700
임진우,두산,0,0,0,0,0,1,0,1.0,9,9,0,0.667,40.0,27,-0.11,4.73,4.61,0.0,3000,3200
박치국,두산,1,1,0,0,0,21,3,32.0,6.47,3.94,0.84,0.333,60.6,6.75,-0.12,5.39,5.58,0.0,3400,2700
민태호,NC,0,0,0,0,0,7,0,8.2,7.27,3.12,1.04,0.346,66.2,6.23,0.07,5.35,5.46,-0.0,4000,3300
박상원,한화,0,0,0,1,0,18,0,21.2,5.4,2.91,1.25,0.254,73.4,4.15,0.32,5.3,5.42,-0.0,3100,2700
허건엽,SK,0,0,0,0,0,8,0,8.1,3.24,2.16,1.08,0.4,51.3,8.64,-0.2,5.29,5.64,-0.01,3400,3300
정수민,NC,1,1,0,0,0,15,1,28.0,9,5.14,2.25,0.32,70.7,6.75,0.29,6.81,6.57,-0.01,4200,3700
성영훈,두산,0,0,0,0,0,1,0,1.0,0,9,0,0,100.0,0,0.04,6.73,7.64,-0.01,2700,2700
고봉재,두산,0,0,0,0,0,1,0,1.0,0,9,0,0.5,100.0,0,0.04,6.73,7.64,-0.01,3300,4400
이수민,삼성,0,0,0,0,0,1,0,2.2,3.38,3.38,0,0.364,50.0,10.12,-0.15,5.23,5.95,-0.01,2800,3000
강윤구,NC,2,1,0,0,0,36,5,54.2,8.4,3.95,2.3,0.281,83.6,4.45,0.78,6.62,6.43,-0.02,8500,8000
안규현,삼성,0,0,0,0,0,1,0,2.0,4.5,13.5,0,0.333,66.7,9,-0.04,8.73,9.67,-0.04,2900,2800
서균,한화,0,0,0,0,0,14,0,14.1,6.28,1.88,1.26,0.333,79.2,4.4,0.25,5.41,5.58,-0.04,3000,2700
안성무,삼성,1,1,0,0,0,5,3,11.2,6.17,7.71,1.54,0.324,67.6,7.71,-0.02,7.42,7.63,-0.05,3500,2800
박희수,SK,2,6,8,9,3,48,0,38.0,6.87,4.5,1.89,0.339,70.7,6.63,0.37,6.52,6.57,-0.05,18500,21000
김시현,삼성,0,0,0,0,0,17,0,21.1,6.75,6.33,1.69,0.385,69.3,7.59,0.08,7.06,7.18,-0.05,3300,2700
박근홍,삼성,0,0,0,1,0,24,0,15.1,8.22,8.22,1.17,0.262,47.8,9.39,-0.21,6.73,6.81,-0.05,8000,10000
김태훈,SK,2,2,0,3,1,21,6,41.1,7.4,4.14,1.74,0.379,68.2,6.53,0.07,6.13,6.09,-0.06,4000,2800
김종훈,KIA,0,0,0,0,0,1,0,1.0,18,18,9,0.75,43.5,36,-0.16,18.73,17.6,-0.06,2900,2800
정동윤,SK,0,0,0,0,0,2,0,3.0,3,3,3,0.364,71.4,9,-0.03,9.4,10.05,-0.07,2700,2700
박시영,롯데,2,3,0,5,2,47,3,57.0,8.21,5.05,2.21,0.288,65.4,6.47,-0.38,6.73,6.57,-0.07,6300,5000
배민관,LG,0,0,0,0,0,4,0,3.2,4.91,9.82,2.45,0.417,69.8,9.82,-0.11,9.46,9.77,-0.08,3200,3000
윤근영,KT,0,0,0,1,0,12,0,18.0,5.5,2.5,2,0.339,84.8,3.5,0.3,6.23,6.31,-0.08,4200,4000
강장산,KT,0,0,0,0,0,17,0,26.1,5.47,5.13,1.03,0.296,69.4,5.47,0.54,6.16,6.46,-0.1,3300,3000
홍성무,KT,0,1,0,0,0,7,0,6.1,5.68,8.53,1.42,0.435,51.3,12.79,-0.29,7.37,7.58,-0.11,3000,3000
송은범,한화,0,4,1,0,1,13,6,37.1,3.62,5.54,0.96,0.315,62.7,6.51,0.1,6.33,6.79,-0.12,45000,45000
정재원,한화,0,2,0,1,1,14,0,21.0,3.86,4.71,0,0.315,69.2,3.43,0.12,5.16,5.73,-0.12,4000,4000
김민우,한화,0,0,0,0,0,4,2,7.1,6.14,7.36,1.23,0.613,50.7,17.18,-0.52,7.83,8.32,-0.12,3600,3800
이현호,두산,1,0,0,0,0,24,2,30.0,5.7,4.2,1.8,0.389,65.3,5.7,-0.51,6.47,6.57,-0.16,5200,6000
권혁,한화,1,3,0,11,1,37,0,31.1,4.88,2.59,1.72,0.311,67.3,6.32,0.04,6.48,6.78,-0.16,45000,45000
배제성,KT,0,0,0,0,0,21,1,32.0,5.91,6.47,1.12,0.378,59.6,8.72,-0.1,6.39,6.59,-0.17,3000,2700
홍상삼,두산,1,1,0,0,0,11,2,17.0,3.71,5.82,1.06,0.3,53.0,7.94,-0.52,6.73,7.22,-0.18,9000,12500
이태양,한화,3,6,0,0,0,16,12,59.0,4.42,3.97,1.83,0.33,64.3,7.17,0.05,6.77,7.04,-0.18,7300,8300
김진우,KIA,2,6,0,0,1,14,8,36.1,5.2,5.7,1.24,0.376,65.3,7.93,-0.35,6.68,7.04,-0.19,6000,12000
이영하,두산,3,3,0,0,0,20,3,35.2,6.56,4.04,2.02,0.333,78.7,5.55,0.59,6.79,6.86,-0.19,4200,2700
최성영,NC,0,0,0,0,0,7,0,11.1,6.35,5.56,3.18,0.361,68.6,9.53,-0.26,9.29,9.48,-0.2,2900,2900
김동호,삼성,0,1,0,0,0,20,1,36.0,4,5.25,0.25,0.381,67.0,6.75,-0.07,5.46,5.96,-0.2,6000,5000
김윤동,KIA,7,4,11,6,6,65,1,80.1,7.39,5.27,1.12,0.267,75.0,4.59,1.89,5.54,5.53,-0.2,15000,4700
정인욱,삼성,1,4,0,0,0,9,7,32.0,7.59,3.94,2.53,0.359,52.5,9.84,-0.43,7.39,7.36,-0.2,5700,7200
송창식,한화,5,6,0,15,6,63,0,73.1,7.85,4.05,1.6,0.303,61.0,6.63,-0.74,5.68,5.59,-0.22,24000,22000
배재환,NC,0,1,0,0,0,3,1,8.0,4.5,6.75,4.5,0.346,82.1,9,-0.16,11.48,11.73,-0.23,3000,4000
이정민,롯데,3,1,0,2,1,24,0,26.2,3.71,2.7,1.69,0.307,71.4,5.4,0.19,6.47,6.83,-0.24,10000,15000
최동환,LG,1,2,1,5,2,35,0,38.0,7.34,3.55,2.13,0.273,71.1,5.68,-0.05,6.76,6.77,-0.24,6500,6000
이종혁,KT,2,0,0,0,0,16,0,19.0,4.74,4.74,1.42,0.324,67.0,6.63,-0.09,7.1,7.57,-0.25,3200,2700
홍성용,KT,0,2,0,1,0,37,1,39.0,5.08,3.92,1.62,0.294,68.3,6.23,0.25,6.4,6.63,-0.28,6800,6300
정영일,SK,0,0,0,0,0,9,0,8.0,2.25,6.75,3.38,0.281,47.3,10.12,-0.61,10.73,11.37,-0.3,3000,4000
김지용,LG,4,3,3,8,4,53,0,53.0,6.62,2.38,2.21,0.28,73.9,5.09,0.28,6.3,6.27,-0.38,9000,10000
최금강,NC,5,3,0,0,0,39,13,89.2,5.12,3.41,1.51,0.32,57.4,7.33,-0.27,6.31,6.58,-0.41,12500,14000
김범수,한화,0,4,0,0,0,15,5,31.0,4.65,6.97,2.03,0.34,66.4,8.71,-0.42,8.15,8.52,-0.42,3600,3300
이승현,삼성,2,0,0,0,0,30,0,31.2,7.11,6.25,2.56,0.276,81.9,5.12,0.31,8.03,8.03,-0.44,7000,6200
주권,KT,5,6,1,3,2,39,12,81.2,5.18,3.42,1.65,0.314,63.2,6.61,-0.02,6.33,6.54,-0.46,7600,7500
장민재,한화,2,5,0,0,2,33,5,62.2,4.31,3.3,1.58,0.355,56.9,7.76,-1.21,6.21,6.48,-0.47,7100,8100
정용운,KIA,3,2,0,0,0,25,11,59.1,4.85,5.61,1.06,0.263,65.4,5.92,0.39,6.41,6.77,-0.49,7500,3100
노경은,롯데,0,2,0,0,0,9,2,14.2,4.91,4.91,2.45,0.382,52.8,11.66,-0.83,8.03,8.29,-0.61,10000,16000
김승현,삼성,0,3,0,1,0,41,0,43.2,7.63,7.01,1.44,0.341,73.9,5.77,-0.4,6.87,6.95,-0.7,4000,2900
류희운,KT,4,4,0,0,0,24,14,81.0,5.78,5.89,2,0.312,65.3,7.67,-0.68,7.6,7.81,-1.01,4000,3000
