review,y
"삼합이 그렇게 맛있다길래 한번 방문했는데..
진짜 제 지인들이 꼭 가라는 이유를 알겠네요
진짜 어제 잘먹고 덕분에 행복한 배부름을 오랜만에 느끼고 갑니다:)  
다음엔 어머니 생신날 가야겟어요",1
"소고기 차돌박이와 전복과 키조개 관자의 삼합 조합은 정말 좋았습니다!
거기에 김치를 곁들여서 먹어도 아주 맛있더군요!

날 좋을때 정원 바라보며 먹어도 기분 좋은 식사자리가 될꺼같습니다:D",1
한마디로 쥰맛탱구리????????,1
"언제 가도 맛, 서비스, 분위기 모두 최고입니다 ^^ 감사합니다!",1
언제나 좋아요..서빙도 완전 스피드!! 쵝오,1
서비스짱 고기짱 또갈거에요,1
"고기도 구워주시고, 참 맛있었습니다",1
깔끔하고 맛있게 잘먹었습니다!,1
맛과 분위기가 좋았습니다~!,1
깔끔해요!,1
맛잇어요요용,1
정말 맛있어요👍 기본찬도 많고 직원분께서 먹기 좋은크기로 타이머에 맞춰 잘구워주셔서 정말 맛있게 잘먹었습니다! 번창하세요~,1
고기맛있었고 서비스 좋았어요~,1
네이버 예약했더니 서비스까지 받고 좋았어요 ^_^ 사람도 많이 없고 고기도 맛있었어요!,1
매우 만족해요!,1
만족합니다,1
맛있습니다. 따로 와인 챙겨가져가서 마셨어요. 여기 고기도 고기지만 차돌박이볶음밥도 맛있었음.,1
맛있고 분위기 좋습니다. 잘 먹었습니다.,1
맛잇엇어요,1
조용하니 좋았습니다.,1
"좋았습니다
다음에도 이용 예정입니다",1
"맛있었음
김치도 맛있고",1
"이번이 두 번째 방문이었습니다. 근처 주차장에 주차하고 2,000원할인 서비스는 좋아요. 첫번째 방문이 괜찮아서 또 간거였는데, 이번에는 메뉴가 잘못 나와서 다시 바꿔주셨는데, 조리 즉시 나온게 아닌건지(?) 당면이 다 불어서 눌러붙고 닭갈비에 국물이 하나도 없어서 엄청 뻑뻑하게 먹었어요,",0
"닭갈비는 1인분에 9,500원.
마침 들고나간 가방에 현금이
좀 있었는데, 현금 결제하면
3+1 혹은 4+1이 가능하다.

맛은 매콤한 건 거의 없다.
밍밍을 살짝 벗어난 매콤?
음, 아무튼 맵지는 않고, 간은 적절.",1
당일도축이라는 문구에 믿음이 가는 곱이다. 모듬구이에 하얀가루가 솔솔~ 비주얼부터 입맛을 자극했다. 파김치. 부추. 곱창을 특제 간장소스에 찍어 먹으니 더 좋았다. 역시 곱은 사랑이다^^,1
네이버예약하고 기다림없이 편하게 주문하니 완전좋으네요~  저희는 무조건 모듬으로 ~ 역시 다양하게 즐길수 있는 모듬에 후식 라면과 볶음밥은 진리네요. 맛난 곱창먹고 에너지 만땅 충전하고 갑니다.,1
"토요일 저녁에는 꼭 한잔이 생각나는데 강남역에 가면 들리는 강남곱~~ 곱창도 정말 끝내주지만 대창도 완전 존맛자랑하는 곳..
불토를 배부르게 잘 보내고 갔습니다. 대창 먹으러 또 갈게요.",1
정말 맛있게 잘 먹었어용!!,1
대파김치와 곱창의조화가 환상이네요. 정말 돌아서면 생각나는 맛인거 같아요. 오늘도 또 가고 싶은 곱...이런 미세먼지에 외식으로 딱~~~ 강남가면 또 들릴게요. ~,1
맛도좋고 곱창도 빨리나오고 우선 곱창이 너무 맛있어요!!,1
파김치와 곱창의 별미 넘 맛나네요~^^,1
"깔끔하고 너무 맛있고 좋았습니다.
강남에서 모임할 때 자주 갈 것 같아요 !!",1
곱창 크기도 크고 양도 다른 곳 보다 더 잘나오는거 같네요 ㅎㅎ,1
맛있고 분위기도 괜찮고 또갈려구욥♡,1
잘먹고갑니다,1
"대략적으로 보통이였습니다. 사람들이 너무 많아서 그런지 직원분들이 많이 정신 없어 보이시네요~ 
가격대비 성능비는 괜찮습니다.",1
인테리어랑 분위기에 비해 가격이 너무 저렴해서 놀랐네요 친구들하고 소모임 가졌는데 친구들도 너무 만족한다고 했고 저도 너무 만족했습니다~ 다음에 또 이용할게요 ^^,1
"고기도 맛있고 불판도 바로바로 바꿔주시고
무엇보다 모임자리였는데 조용한 자리 잡아주셨어 좋았습니다~",1
고기맛은 기본이고 바쁘신데 친절하신 응대에 매우. 만족했습니다 다음에 다시 방문하겠습니다,1
가격대비 고기도 맛있고 직원도 친절하고 우리가 인원이 많아 시끄러울까봐 룸을 부탁드렸는데 룸이없어 지하로 잡아주셨는데 사람도없고 편하게 얘기할수있어서 좋았어요. 단점은 주차장이없어 좀 불편한데 담엔  대중교통을 이용하려고요~~,1
그러저럭 했어요,1
두번째 회식이였는데 일행들이 무척 만족하면서 다들 강남역에서 기본이 탄탄한 집이라 칭찬하네요 변함없는 음식맛 가격에 비해 친절한 응대 분위기있는 매장 추천합니다,1
분위기도 좋고 고기도 맛있고 좋았습니다.,1
"회식장소로 매우 좋습니다!
또한 분위기도 매우 좋고 일반 고깃집과 달리 와인도 합리적으로 판매 하고 있어서, 연인들 데이트 코스로도 좋아봅니다. 또 방문할 예정이에요.",1
서비스도 좋고 맛도 좋고 좋은 저녁식사 했습니다.,1
매번애용하는식당입니다. 이번에는 인당2인분이상 먹엇는데 배터질뻔했네요^^,1
"직원이 점심에 먹어보고 이번회식때 여기 가자고 추진해서 예약해봤는데요.
네이버예약되서 편했고 서비스도 좋았습니다.
직원들이 매번 회식 여기서 하자고하네요 ㅋ
다음 다른 모임도 여기서 하고싶을정도로 맛, 서비스 다 만족스러운 식사였습니다.
번창하세요~",1
"친구2명 데리고 갔는데,다들 핵만족!
잘먹고갑니다. 얼굴도 알아봐주시고,
콘샐러드 떨어질때마다 가져다주셔서 고맙!다음 모임도 여기서 하기로~",1
"많은 광고들과 호평에 비해 아쉬웠다.

1. 네이버 예식시 제공되는 냉면은 제공되지 않았다. 물론 달라고 이야기를 하지 않았으나, 준다고도 하지 앟았다.

2.생갈비가 다른가게의 양념갈비만큼 짜고 간이되어 있다. 바로 고기를 발라내는곳이 보이는데, 바로 바른 고기가 어떻게 양념맛이 나는지는 이해 불가.

3.서비스는 매우만족. 직원들은 친절하고 인사도 잘하고 잘챙겨주었다.

여자친구와 둘이서 11만원의 비용을 내고 식사를 했으나 재방문의사는 없다.",0
존맛탱!! 또가고싶어요,1
맛 서비스 모두좋아요,1
모임때마다 방문합니다. 맛은 말할것도 없고^^ 최고의 장소입니다.,1
"맛 좋음
비용 100g 당 2만원으로 비쌈
위치 좋음
주차 무료가능
분위기 별도룸이 없어 다소 정신없음
메뉴종류 갈비 한종류여서 아쉬움

편한사람들과 돈 좀 주고 맛있게 먹고싶다 하면 괜찮아요, 양념갈비 맛은 조금 약함
냉면은 너무 짰음
된장죽 핵맛있었둠",1
분위기도 좋고 맛도 있고 좋았습니다~,1
분위기도 좋고 고기도 맛있네요!!,1
지인들 예약해줬는데 매우 맛있었다합니다,1
고기 맛있고 밑반찬들도 다 맛있어요  파무침 짱짱 숯불에 굽는건데도 가게에 연기가 없이 깔끔해서 좋아요 대신 반반냉면이 넘 뿔어씀...팅팅..탱탱... 반반떡..,1
고기가 생생하니 좋았어요,1
"고기도 맛있고 분위기도 좀있고 좋았습니다.
근데 직원분들이 바빠서 그런지(제가보기에 많이 바빠보이진않았는데) 간단한 주문도 3~4번씩 불러야지 해주시더라고요..
서비스적인 부분만 보강해주시면 5점이 될거같습니다",1
"오겹살 완전 두툼하고 맛있네요
인테리어도 분위기 있어서 데이트하기도 좋을거 같아요
인스타 올리고 껍데기 서비스 받았는데 그것도 짱맛!",1
"돼지고기 한 판(1.2kg)? 시켜서 먹었는데 갈매기살이 조금 질겼어요. 그리고 초반에는 고기를 구워주시다가 나중에 900g짜리 시켰을땐 안 구워주시더라구요. 다 알바생들인건 알지만 고기 구워주는게 성의없게 느껴졌습니다. 또, 상에 반찬이 가격대비 좀 부실했습니다. 그래도 오겹은 진짜 맛있었어요.",0
전체적으로 만족하며 먹었습니다!,1
정말맛잇고 좋습니다.,1
맛있어요!!,1
덕분에 편하게 회식하고 맛있게 먹었습니다~,1
"매우 맛있었어요
추천합니다",1
친절하게 먹기 좋게 다 구워주시고 서비스도 너무 좋았습니다!,1
맛있었어요 ㅠㅠㅠㅠㅠㅠ 또 갈거에요...,1
"넘사람이 많아서인지 고기도 안오고 그랬으나
묵은지가 엄청나서 용서함^^",0
대만족했어요!!! 일본인 출장자들이 감동했다네요. 고기 다 구워주시고 여러가지 삼합으로 조합해서 각자 그릇에 놔주시고! 너무 좋아요!,1
맛있어요! 차돌삼합 추천해요,1
음식은 너무 좋아요. 다만 환기가...,1
맛있습니다. 다만 환기는 잘 되지 않아요.,1
역시 맛있었어요~,1
고기는 맛있었는데 조용하진 않았네요ㅋㅋ,1
고기가 짱 맛있어요,1
최근 먹은 고기중에 탑입니다 고기 진짜 맛있어요..,1
맛이 있습니다 가보세요,1
맛있어요~,1
쾌적하고 깔끔한 곳입니다,1
직원분들 모두 친절하시고 고기도 신선하고.,1
저희도 회식이었는데 다른 회사에서 사용하시던 소주 재고(위에 타 회사 이름 스티커..) 주시고... 비계덩어리 삼겹가져오셔서 바꿔달라도 했더니 그럼 삼겹 말고 목살먹으라고 짜증내시고.. 아쉽네요 한두번 가는게 아닌데,0
항상 만족하는 구이 전문점 입니다,1
예약되서 좋았고 잘먹고 갑니다 ㅎㅎ,1
맛과 가격 굿이네요,1
"존맛!! 여기로 예약한 과거의 나 겁나 칭찬함! 
진심 너무너무 맛있었음!! 개인적으로 막창 포에버☆
👍👍👍👍👍👍👍",1
가성비가 좋습니다. 곱창이 국산이라 그런지 냄새도 안 나고 맛있게 잘 먹었습니다. 볶음밥도 맛있었어요^^,1
"초벌 개오래걸리는데 초벌 1도 안되서 옴. 주문안들어갔는데 언제 나오냐고해서 핑계댄건가 싶을정도로.
손님 상 케어도 너무 안됨. 처음에 잘라주면서 뭘먼저 먹으라거나 얼마나 더 구우라는 등 멘트 하나도 없고, 직접 상태체크하면서 구워주거나 뭐 어떤 것도 없엇음. 애초에 잘라주고 맛있게드세요 라거나 그냥 말한마디라도 하면 알아서 구워먹었을텐데 이도저도아니라 진짜 짜증났음. 여기저기 곱창집 많이 갔는데 진짜 직원들 정신없고 불친절함. 테이블 대비 주방/홀 직원 전부 뭘 달라고하면 기본 10분이상 걸림. 2~3번씩 언제나오냐고 물어봐야하고, 알아본다고하고 다시 와서 답을 안줌 또 물어봐야함^^;; 다시는 안갈듯.",0
"한우곱창모듬~ 술이 술술 넘어가는 맛이였어요. 
지인들과 함께 갈만한 곳.",1
아주 맛있어요. 먹는 환경도 쾌적한 편입니다.,1
좋은데 종업원이 너무 적어요,0
예약할때 요청한대로 시원한 자리에 배치해주셔서 기분 좋았으며 음식도 너무 맛있었습니다. 재방문하고싶은 곳,1
"곱창붐이일어서 그런가... 간 천엽이 다 떨어지고 무한리필도 안된다고 하더이다..
그래도 맛있었어요 바빠서 그런지 직원들표정이 힘들어보였음",1
예약하고 갔더니 바쁠 시간에도 편한 자리로 받아서 먹을 수 있었어요~ 맛도 있었구요! 다만 안이 시끄러운편인데 벨이 없어서 뭔가 요청하기도 힘들고 요청해도 바로 피드백 받기는 힘들어요ㅠㅠ 맛이나 내부는 좋았는데 그런 점이 아쉬웠어요,1
고기퀄러티도 좋고 아주 즐거운 식사를 했습니다. 조용한 가족모임에 좋을 듯 합니다. 그리고 육회는 슴슴한 양념으로 바꿨던데 입맛에 아주 잘 맞았어요. 늘 감사드립니다.,1
"후기는 처음 남기네요
바쁠때는 고기도 직접 구워야하고 주문도 늦게 나오지만 불편함 느낀적 없어요 
그이상의 맛과 품질로 늘 다시 찾게 됩니다!",1
고기 질은 좋았습니다. 다만 종업원 분들의 응대가 느리고 지난번엔 고기를 직접 구워주시기도 했던것 같은데 이번엔 안 구워주시더라구요. 물어보니 손님이 몰려서 바빠서 그랬다고 하시는데 식당엔 저희 말고 두팀인가만 더 있었는데 얼마나 바쁘셨던건지 모르겠습니다. 가격에 비해 서비스는 높은 점수는 못 주겠네요,0
늘 만족스런 응대에 감사합니다.,1
"자주 가는곳인데 친절하고 맛이 좋은 집입니다
가성비 좋고 모임하기 좋은  맛좋은 집  
함 가보시길 추천합니다^~^",1
추웟어요 고기 외에는 별로에요..,0
"고기질과 육전은 좋다.다만 한우손님 돼지고기 손님을 차별한다(돼지손님은 주차불가.네이버예약시 약속한 간장게장.보리굴비를 돼지손님은 주지 않는다-예약정보에 돼지손님은 서비스 없다는걸 명시해서 낚이는 손님은 없어야 된다고 생각한다)
불판이 검댕이가 있어 교체를 했는데 똑같은 것이 또 나와 하는수 없이 내가 불판을 휴지로 닦고 고기를 구워 먹었다.
명성에 걸맞지 않은 점례네다.",0
직접 구워주시고 진짜맛있음. 반찬도 맛있음. 직원분이 친절하게 잘해주시네요,1
친절하게 서빙해주시고 음식도 챙겨주셨어요 ㅎ,1
"강남역 점례네 방문
육회비빔밥은 맛있었당
뼈삼겹도 맛있었다

다만 부산본점이랑은 좀 틀림 ㅜㅜ",1
"언제가도 맛있는 영동족발!
3호점이 제일 친절한 것 같아요
미리 예약하고 가니 기다리지 않아도 되서 너무 좋았어요
김치전도 맛있고 막국수도 맛있어요
어제 다녀왔지만 오늘 또 가고 싶네요 ㅎㅎ",1
시끄러운거 빼곤 좋았어요,1
"카운터 있는 남자분들의 고객 대응 최악 손님이 넘 많아서 짜증나는듯 
족발은 괜찬은 편.  막국수는 과하게 맵고 맛은 별로",0
언제나 먹어도 맛있어요ㅎ,1
맛있어요 족발,1
족발 맛있었구요...(제 입에 영동족발은 다 좀 달지만 그래도 쫄깃쫄깃 좋아요) 일하시는 아주머니께서 넘 친절하셔서 기분 좋게 먹고 왔습니다. 계란찜이랑 두부김치는 처음 먹어봤는데 이 사이드 메뉴 둘도 다 맛났어요!,1
"깔끔하고 주문한 음식이 빨리 나왔어요
이모님이 실수해서 막국수가 늦게 나왔지만 대체로 빨리 셋팅해주심",1
맛나게 잘 먹었습니다,1
"너무 맛있게 잘 먹었습니다~~
다만 좀 시끄러워서 대화를 할 수 없다는게 
아쉽지만 맛있으니 ^^;
다음엔 포장도 해보려구요~",1
맛집이 맞긴한가 봅니다 한골목안에 1.2.3.4호까지~ 사람이 바글바글 하고 줄이 쭉 서 있어요 맛은 뭐 그런가보다 하는데 서비스가 진짜 손님에 다한 예의가 없달까 참 내돈주고 먹으면서도 기분 나쁜 ㅠㅠ 전 다신 안가렵니다,0
"진짜 맛잇고, 서비스들도 괜찮았어요 ㅋㅋ 
다음이 친구들 모임 있을때 또 방문할 예정입니다. 예약은 필수입니다 ㅋㅋ",1
다른 고깃집과 큰 차이는 못 느끼겠어요 그냥 평범한 수준,0
말이 필요없는 고깃집인것같아요! 제가 넘넘 좋아하는 집~ㅋ 사는곳에서 그리 가깝지않은데도 고기먹으러가면 꼭 탐라도야지로 가게 되는것 같아요.. 오늘도 잘 먹고 갑니당^^ 또 올께요~~,1
"항상 맛있게 잘 먹습니다.
삼겹살 땡길 때도 가지만, 여러가지 음식 먹고 싶을 때 가면 밑반찬 다 맛있고 그래서 부페 먹고 나온 느낌입니다. 맛있게 잘 먹었습니다!",1
아주아주 맛나네요. 작년에 제주도 애월에서 먹은 맛 그대로네요^^,1
"사장님이나 직원분들 모두 너무 친절하세요!!
아이스크림서비스도 맛있구요^^
다만 지하가 환기가 잘 안돼서 눈이 좀 따가웠어요ㅠㅠ 냄새에 민감하시거나 통풍이 잘 되는 곳으로 가시려면 지하보다 윗층이 나을것같아요!! 옷이나 가방을 넣는 비닐도 주셔서 냄새도 안나고 좋았어요! 그리고 회사 회식인데 제가 막내이다보니 고기를 구워야하는 부담이 늘 있는데 직원분들이 다 구워주셔서 너무 좋았어요!!ㅋㅋ감사합니당",1
고기가 맛있어요. 같이나오는 반찬도 맛있어욜,1
"와 여기 진짜 리뷰보고왔는데 그대로네요
직원분들 다 친절하시고 다 서비스주식
양도 엄청많아서 셋이서왔는데 3인분먹고 배부르네요 여기 진짜 맛있어요 서울살면 맨날 오고싶을정도에요😊",1
고기 맛있고 사이드 잘나와서 좋아하는 집인데 오늘은 특히 바쁘셔선지 서빙에서 좀 성의가 없는 느낌을 받았습니다. 다음에는 기대해봅니당...,1
"맛도 있고 역과 가까워 더 좋았어요ㅎㅎ
진짜 회식하기 좋은곳입니다~~!!",1
"고기 구워주셔서 회식인데도 너무 편하고 즐겁게 막었습니다. 음식도 정말 맜있었구요!
구워주시면서 같이 먹으면 좋을 것을 말해주셨는데 정말 맛있어서 즐거운 시간 보냈습니다",1
역시 너무 맛있어요 ㅎㅎㅎ,1
"진짜 맛있는데
넘 비싸다여........",1
이모님들이 고기 다 구워주시고 세상 맛있었어요 역시 이영자맛집,1
"진짜 말이 필요 없음
이영자가 왜 좋아하는지 알거같음ㅋㅋㅋㅋ
열심히 돈벌어서 또 먹으러 가야겠어요 ㅎㅎ

안드신분들 언능 드시러고고하세요 ㅎ",1
사람이 끊임없이 오는 맛집이었어요 사실 이전에 여기 말고 다른 지점갔가 살짝 실망했었는데 논현본점가보고 왜 영자언니 맛집인지 알게됐어요,1
"전체적인 맛은 좋았습니다.
8명이 차돌삼합 10인분 등을 즐겼는데 인당 4만원 정도 비용.  가성비가 낮은 느낌.
양이 약간 적고 대부분의 좌석이 앉는 방이어 조금 불편했습니다.",1
맛있습니다.~,1
"차돌 삼합 정말 맛있어요!
볶음밥도 날치알 듬뿍 넣어주셔서 별미네용",1
고기를 맛있게 구워주시고 어떻게 먹어야하는지 친정하게 알려주셔서 맛있게 잘 먹었습니다,1
이베리코삼겹살 맛있는데 네이버예약은 안되네요ㅠㅠ,1
맛있어요!,1
"사람이많았어요 ㅠ
맛은 있었어요..",1
"배꼽집 맛은 좋으나 네이버 예약한 줄도 모르고 이모님이 엄청 불친절함ㅠ

최근들어 자주 가게 되는데 서비스에 신경을 많이 써야 할듯 합니다. 맛만큼 시스템이 못따라와 아쉬운듯 합니다.",0
네이버를 통해 예약하고 갔는데 예약이 안되어있었습니다. 오후 한시였기 때문에 빈 자리가 있어서 문제는 없었습니다. 예전에 방문했을 맛있게 먹었기에 다시 간 건데 음식에 대한 만족도는 높았습니다.,1
"맛있게 잘 먹었어요!
같이 간 선배님들도 좋아하셔서 기분 좋았습니다!
담에 또 들를게요~~",1
맛있었고 처음에 구워주셔서 편했습니다~사람없을때가면 더좋은서비스 해주신다고하셨네요!,1
정말 맛있네요!,1
친절하게 고기도 잘 구워주시고 고기도 너무 맛있어용 !!!!! ♥︎,1
진대감 여러군데 가보고 나서 너무 좋아서 가족끼리 외식하려구 갔는데 다른지점에 비해 너무 서비스가 엉망이에요 반찬은 거의 집어던지듯이 놓고가시고 시키고 다시 시키고 바쁜건 알겠는데 그럼 직원을 더 써주시지.. 서비스 최악이었어요,0
